nation,pos,squad,comp,age,born,mp,starts,min,90s,goals,shots,sot,sotpct,g/sh,g/sot,shodist,shofk,shopk,pkatt,pastotcmp,pastotatt,pastotcmppct,pastotdist,pastotprgdist,passhocmp,passhoatt,passhocmppct,pasmedcmp,pasmedatt,pasmedcmppct,pasloncmp,paslonatt,pasloncmppct,assists,pasass,pas3rd,ppa,crspa,pasprog,paslive,pasdead,pasfk,tb,sw,pascrs,ti,ck,ckin,ckout,ckstr,pasoff,pasblocks,sca,scapasslive,scapassdead,scadrib,scash,scafld,scadef,gca,gcapasslive,gcapassdead,gcadrib,gcash,gcafld,gcadef,tkl,tklwon,tkldef3rd,tklmid3rd,tklatt3rd,tkldri,tkldriatt,tkldripct,tkldripast,blocks,blksh,blkpass,int,tkl_plus_int,clr,err,touches,toudefpen,toudef3rd,toumid3rd,touatt3rd,touattpen,toulive,toatt,tosuc,tosucpct,totkl,totklpct,carries,cartotdist,carprgdist,carprog,car3rd,cpa,carmis,cardis,rec,recprog,crdy,crdr,2crdy,fls,fld,off,pkwon,pkcon,og,recov,aerwon,aerlost,aerwonpct,market_value_euros,negative,neutral,positive,avgsentimentscore,player_id,total_injuries,total_days_injured,avg_days_injured,max_days_injured,recent_injury_days,goals_per90,assists_per90,shots_on_target_rate
ger,mfdf,werder bremen,bundesliga,26,1996,7,0,71,0.8,0,1.25,0.0,0.0,0.0,0.0,12.3,0.0,0.0,0.0,58.8,73.8,79.7,1131.3,347.5,25.0,30.0,83.3,21.3,26.3,81.0,10.0,13.8,72.7,0.0,0.0,3.75,1.25,0.0,6.25,70.0,3.75,2.5,0.0,1.25,1.25,1.25,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,1.25,3.75,0.0,0.0,0.0,3.75,0.0,3.75,0.0,0.0,0.0,0.0,3.75,1.25,0.0,85.0,2.5,30.0,45.0,10.0,3.75,85.0,1.25,0.0,0.0,1.25,100.0,41.3,167.5,57.5,1.25,0.0,1.25,0.0,0.0,48.8,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,7.5,1.25,2.5,33.3,1000000.0,0.5961538461538461,0.1923076923076923,0.2115384615384615,-0.3745403846153846,0.0,15,378,25.2,85,46,0.0,0.0,0.0
kvx,mfdf,clermont foot,ligue 1,29,1993,20,15,1286,14.3,2,1.4,0.56,40.0,0.1,0.25,13.2,0.0,0.0,0.0,22.5,31.5,71.6,315.8,69.4,12.5,15.1,82.9,7.97,10.2,78.1,0.63,2.31,27.3,0.07,0.63,1.33,0.35,0.07,1.96,29.9,1.4,0.28,0.0,0.14,2.73,1.05,0.07,0.0,0.0,0.0,0.14,1.89,1.33,0.98,0.0,0.07,0.21,0.07,0.0,0.14,0.07,0.0,0.0,0.07,0.0,0.0,1.4,0.77,0.42,0.7,0.28,0.42,1.05,40.0,0.63,1.05,0.14,0.91,0.98,2.38,0.91,0.0,42.5,1.33,8.46,18.3,16.6,3.85,42.5,2.24,0.7,31.3,1.19,53.1,29.5,186.2,74.3,2.38,1.4,1.19,2.17,0.84,26.9,6.5,0.07,0.0,0.0,1.33,1.19,0.14,0.07,0.0,0.0,5.03,0.84,1.61,34.3,600000.0,0.6,0.1,0.3,-0.1151199999999999,0.0,4,81,20.25,48,8,0.13986013986013984,0.0048951048951048955,0.4000000000000001
eng,fw,manchester utd,premier league,25,1997,22,20,1795,19.9,11,3.02,1.31,43.3,0.18,0.42,15.9,0.2,0.0,0.0,19.4,25.8,75.3,280.3,66.2,12.6,15.0,84.2,4.62,5.73,80.7,1.31,2.21,59.1,0.15,0.85,1.06,1.61,0.1,2.61,25.3,0.35,0.0,0.1,0.15,0.8,0.25,0.0,0.0,0.0,0.0,0.2,1.11,2.66,1.76,0.0,0.4,0.35,0.1,0.05,0.4,0.25,0.0,0.1,0.0,0.05,0.0,0.8,0.3,0.25,0.35,0.2,0.3,0.7,42.9,0.4,1.21,0.15,1.06,0.25,1.06,0.3,0.0,38.2,0.5,3.32,14.7,21.0,5.48,38.2,3.77,1.31,34.7,2.06,54.7,23.1,148.4,69.2,2.51,1.61,1.51,2.61,1.36,29.5,7.44,0.1,0.0,0.0,0.4,0.75,0.45,0.0,0.0,0.0,2.96,0.85,1.51,36.2,40000000.0,0.18,0.24,0.58,0.257462,0.0,14,389,27.785714285714285,142,31,0.5527638190954774,0.007537688442211056,0.4337748344370861
ita,fwmf,napoli,serie a,22,2000,14,7,572,6.4,1,3.91,1.88,48.0,0.04,0.08,17.1,0.47,0.0,0.0,35.0,45.9,76.2,543.3,86.4,18.0,21.6,83.3,11.9,14.1,84.4,2.5,5.47,45.7,0.0,1.25,1.25,0.78,0.0,2.66,42.7,3.28,1.09,0.0,0.94,2.03,0.16,1.25,0.63,0.16,0.0,0.0,1.56,3.59,2.5,0.31,0.0,0.63,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.09,0.0,0.78,0.47,0.31,0.94,33.3,0.63,0.94,0.0,0.94,0.31,1.56,0.31,0.0,58.9,0.31,5.0,26.3,27.8,5.63,58.9,2.03,0.47,23.1,1.25,61.5,37.0,147.5,49.8,1.25,0.94,0.63,3.28,1.41,45.8,8.13,0.16,0.0,0.0,0.78,0.78,0.16,0.0,0.0,0.0,3.13,0.16,0.94,14.3,25000000.0,0.4078947368421052,0.1052631578947368,0.4868421052631579,0.0455736842105263,0.0,5,96,19.2,44,7,0.15625,0.0,0.4808184143222506
ita,fw,sassuolo,serie a,22,2000,1,0,45,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,24.0,83.3,414.0,66.0,4.0,4.0,100.0,12.0,14.0,85.7,2.0,4.0,50.0,0.0,0.0,2.0,0.0,0.0,4.0,18.0,6.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,14.0,16.0,4.0,30.0,0.0,0.0,0.0,0.0,0.0,20.0,66.0,12.0,0.0,2.0,0.0,4.0,2.0,24.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000000.0,0.4078947368421052,0.1052631578947368,0.4868421052631579,0.0455736842105263,0.0,5,96,19.2,44,7,0.0,0.0,0.0
bra,fw,toulouse,ligue 1,27,1995,17,16,1147,12.7,4,1.34,0.71,52.9,0.24,0.44,12.2,0.0,0.0,0.0,27.7,38.5,72.0,393.1,106.5,16.2,20.8,78.0,8.03,11.4,70.3,1.65,2.91,56.8,0.16,1.34,2.2,1.65,0.47,4.25,37.4,0.87,0.08,0.24,0.16,2.36,0.71,0.0,0.0,0.0,0.0,0.24,0.71,2.83,2.28,0.0,0.08,0.31,0.08,0.08,0.16,0.16,0.0,0.0,0.0,0.0,0.0,2.68,2.13,1.1,1.18,0.39,1.34,2.6,51.5,1.26,2.05,0.0,2.05,1.18,3.86,0.24,0.0,53.3,0.55,6.93,24.4,23.0,3.15,53.3,4.49,1.57,35.1,2.2,49.1,40.9,262.8,104.2,3.07,1.73,0.47,2.52,1.57,37.6,11.0,0.08,0.0,0.0,1.5,1.89,0.08,0.0,0.0,0.0,5.75,0.63,0.87,42.1,2700000.0,0.5918367346938775,0.2448979591836734,0.1632653061224489,-0.2935591836734694,0.0,7,101,14.428571428571429,39,3,0.31496062992125984,0.012598425196850395,0.5298507462686567
ger,dffw,rb leipzig,bundesliga,24,1998,19,14,1183,13.1,0,0.69,0.15,22.2,0.0,0.0,25.2,0.0,0.0,0.0,43.0,58.5,73.4,716.9,218.1,22.1,24.8,89.2,16.0,20.7,77.5,3.82,9.54,40.0,0.08,1.53,2.21,1.22,0.76,3.05,46.9,11.6,0.99,0.23,0.23,7.63,7.94,2.67,0.99,1.53,0.0,0.08,2.21,2.67,1.3,0.99,0.23,0.08,0.08,0.0,0.15,0.08,0.08,0.0,0.0,0.0,0.0,2.37,1.37,1.45,0.69,0.23,0.92,1.53,60.0,0.61,1.37,0.38,0.99,1.07,3.44,1.37,0.08,68.8,2.29,18.1,27.9,23.4,1.53,68.8,1.91,0.38,20.0,1.3,68.0,35.0,155.7,86.0,2.21,0.92,0.53,0.99,0.61,41.6,6.72,0.15,0.0,0.0,1.22,0.99,0.08,0.0,0.08,0.0,5.19,0.84,0.69,55.0,20000000.0,0.4520547945205479,0.1506849315068493,0.3972602739726027,-0.014786301369863,0.0,7,113,16.142857142857142,66,14,0.0,0.0061068702290076335,0.2173913043478261
mad,mfdf,auxerre,ligue 1,26,1997,18,11,1011,11.2,0,1.25,0.09,7.1,0.0,0.0,18.1,0.09,0.0,0.0,31.8,38.3,83.0,568.8,195.3,12.8,14.6,87.7,13.6,16.0,84.9,3.48,4.91,70.9,0.0,0.45,2.86,0.54,0.36,3.93,34.7,3.48,0.45,0.0,0.8,1.34,3.04,0.0,0.0,0.0,0.0,0.09,0.71,1.61,1.52,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52,0.8,0.89,0.54,0.09,0.89,1.16,76.9,0.27,1.07,0.09,0.98,1.88,3.39,1.88,0.0,50.0,3.48,13.4,25.2,11.7,1.88,50.0,1.25,0.27,21.4,0.63,50.0,32.9,190.0,83.9,1.34,1.52,0.36,1.96,0.8,28.6,2.59,0.0,0.0,0.0,1.25,1.43,0.09,0.0,0.0,0.0,5.8,0.89,0.8,52.6,2000000.0,0.490566037735849,0.2452830188679245,0.2641509433962264,-0.1910698113207547,0.0,0,0,0.0,0,0,0.0,0.0,0.072
esp,gk,brentford,premier league,27,1995,22,22,1980,22.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.9,42.6,63.2,921.0,727.8,3.73,3.91,95.3,10.4,10.6,97.4,12.8,27.9,45.8,0.0,0.09,1.95,0.14,0.0,0.36,30.0,12.5,4.73,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.05,0.32,0.18,0.14,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.05,0.0,0.05,0.0,0.0,0.27,0.05,45.0,32.6,42.3,2.82,0.0,0.0,45.0,0.05,0.05,100.0,0.0,0.0,27.3,168.9,111.4,0.0,0.0,0.0,0.0,0.0,19.7,0.0,0.05,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,1.27,0.5,0.05,91.7,40000000.0,0.1829268292682926,0.1097560975609756,0.7073170731707317,0.3712536585365853,0.0,2,108,54.0,103,5,0.0,0.0,0.0
usa,df,fulham,premier league,35,1987,23,23,2067,23.0,1,0.13,0.09,66.7,0.33,0.5,9.8,0.0,0.0,0.0,49.2,57.0,86.3,1075.5,375.2,11.5,13.2,87.1,28.8,31.0,93.0,8.48,11.9,71.4,0.0,0.04,3.7,0.0,0.0,3.52,55.2,1.65,1.09,0.0,0.87,0.17,0.35,0.0,0.0,0.0,0.0,0.09,0.13,0.83,0.78,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.52,0.48,0.39,0.13,0.3,0.7,43.8,0.39,1.39,0.83,0.57,1.52,2.52,3.39,0.0,65.7,9.13,34.3,29.7,2.13,0.52,65.7,0.43,0.3,70.0,0.04,10.0,40.1,228.9,155.6,0.78,0.35,0.0,0.52,0.13,42.6,0.04,0.09,0.0,0.0,0.48,0.26,0.04,0.0,0.0,0.0,6.26,1.26,0.78,61.7,300000.0,0.3857142857142857,0.1142857142857142,0.5,0.1573428571428571,0.0,6,150,25.0,52,12,0.043478260869565216,0.0,0.6923076923076923
cro,fw,milan,serie a,29,1993,13,5,514,5.7,3,3.16,1.58,50.0,0.17,0.33,16.4,0.18,0.0,0.0,16.0,30.2,52.9,258.9,79.3,8.95,11.9,75.0,4.56,9.3,49.1,1.58,3.68,42.9,0.35,1.58,1.93,0.88,0.18,2.81,28.6,1.05,0.35,0.7,0.18,2.98,0.18,0.0,0.0,0.0,0.0,0.53,1.93,3.68,2.46,0.0,0.18,0.35,0.53,0.18,0.53,0.53,0.0,0.0,0.0,0.0,0.0,0.88,0.53,0.0,0.18,0.7,0.35,0.7,50.0,0.35,0.7,0.0,0.7,0.18,1.05,0.7,0.0,40.7,0.53,1.93,15.3,24.2,4.74,40.7,2.28,1.23,53.8,0.88,38.5,24.7,133.2,40.5,1.75,1.58,0.53,2.98,1.75,33.0,7.54,0.7,0.0,0.0,2.28,1.4,0.88,0.0,0.0,0.0,3.16,1.4,0.88,61.5,750000.0,0.0,0.3333333333333333,0.6666666666666666,0.6019666666666666,0.0,15,350,23.33333333333333,131,5,0.5263157894736842,0.06140350877192982,0.5
pol,df,spezia,serie a,27,1995,18,16,1340,14.9,1,0.74,0.27,36.4,0.09,0.25,23.4,0.0,0.0,0.0,30.3,44.0,69.0,526.2,222.6,14.1,17.9,78.7,12.0,15.6,76.8,3.42,7.38,46.4,0.07,0.81,2.42,1.07,0.81,2.89,35.1,8.72,0.13,0.0,0.47,2.95,8.59,0.0,0.0,0.0,0.0,0.13,1.41,2.01,1.68,0.07,0.07,0.13,0.07,0.0,0.13,0.07,0.0,0.0,0.07,0.0,0.0,1.88,1.07,1.01,0.47,0.4,0.47,0.87,53.8,0.4,0.94,0.2,0.74,1.07,2.95,2.55,0.0,55.4,4.36,17.8,24.7,13.6,1.21,55.4,1.54,0.47,30.4,0.94,60.9,26.6,189.4,111.2,2.75,2.08,0.34,1.54,0.47,30.1,3.36,0.2,0.0,0.0,1.28,0.54,0.13,0.0,0.07,0.0,5.23,0.47,0.6,43.8,800000.0,0.4385964912280701,0.2631578947368421,0.2982456140350877,-0.1834122807017544,0.0,15,441,29.4,141,141,0.06711409395973154,0.0046979865771812086,0.3648648648648649
eng,df,southampton,premier league,28,1994,1,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200000.0,0.3166666666666666,0.35,0.3333333333333333,0.0067166666666666,0.0,12,648,54.0,310,62,0.0,0.0,0.0
eng,mf,fulham,premier league,28,1995,22,22,1815,20.2,2,0.79,0.2,25.0,0.13,0.5,20.5,0.0,0.0,0.0,28.7,38.1,75.4,444.3,116.9,15.6,18.7,83.8,9.5,11.6,82.1,2.28,4.21,54.1,0.05,1.04,2.52,0.99,0.4,2.92,36.2,1.68,0.4,0.0,0.1,1.68,0.2,0.1,0.05,0.05,0.0,0.15,1.29,2.08,1.78,0.1,0.1,0.05,0.05,0.0,0.15,0.1,0.0,0.05,0.0,0.0,0.0,1.19,0.79,0.35,0.74,0.1,0.45,1.24,36.0,0.79,1.58,0.2,1.39,0.69,1.88,1.34,0.0,48.0,1.83,8.37,26.5,13.5,1.29,48.0,0.84,0.3,35.3,0.54,64.7,22.3,102.0,35.9,0.94,0.84,0.1,1.44,0.69,27.9,2.77,0.25,0.0,0.0,0.94,0.69,0.1,0.0,0.0,0.0,4.95,0.94,1.09,46.3,4500000.0,0.3114754098360656,0.0655737704918032,0.6229508196721312,0.3393819672131147,0.0,14,260,18.571428571428573,53,11,0.09900990099009901,0.0024752475247524753,0.25316455696202533
esp,df,atlético madrid,la liga,26,1996,4,0,87,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,61.0,78.7,715.0,243.0,28.0,29.0,96.6,17.0,21.0,81.0,2.0,4.0,50.0,0.0,1.0,5.0,0.0,0.0,6.0,51.0,9.0,1.0,1.0,0.0,5.0,8.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,2.0,3.0,66.7,1.0,2.0,0.0,2.0,1.0,4.0,0.0,0.0,72.0,4.0,14.0,32.0,27.0,3.0,72.0,1.0,0.0,0.0,0.0,0.0,36.0,274.0,178.0,5.0,4.0,0.0,2.0,0.0,40.0,11.0,2.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,5.0,3.0,1.0,75.0,5000000.0,0.3026315789473684,0.1184210526315789,0.5789473684210527,0.2212618421052631,0.0,10,252,25.2,68,22,0.0,0.0,0.0
jam,fwdf,fulham,premier league,30,1993,22,22,1817,20.2,4,1.24,0.45,36.0,0.16,0.44,13.3,0.0,0.0,0.0,24.5,35.3,69.3,378.3,127.8,12.8,15.7,81.1,9.06,12.6,71.8,1.39,3.37,41.2,0.05,0.64,1.44,1.24,0.35,2.28,31.6,3.51,0.3,0.0,0.1,2.18,3.22,0.0,0.0,0.0,0.0,0.2,1.49,2.03,1.24,0.05,0.1,0.2,0.35,0.1,0.15,0.05,0.0,0.0,0.05,0.0,0.05,1.53,0.94,0.45,0.5,0.59,0.59,1.19,50.0,0.59,1.04,0.15,0.89,0.69,2.23,1.29,0.0,46.5,2.38,9.5,19.0,18.7,2.72,46.5,1.68,0.54,32.4,0.84,50.0,25.1,119.4,57.5,2.03,1.44,0.59,2.18,1.14,28.8,6.73,0.35,0.0,0.0,1.53,0.79,0.3,0.1,0.05,0.0,5.2,0.45,1.39,24.3,2000000.0,0.3333333333333333,0.1833333333333333,0.4833333333333333,0.1510983333333333,0.0,7,158,22.571428571428573,52,50,0.19801980198019803,0.0024752475247524753,0.3629032258064516
fra,mf,troyes,ligue 1,25,1998,1,0,23,0.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.7,103.3,83.9,1263.3,346.7,46.7,56.7,82.4,30.0,33.3,90.0,3.33,3.33,100.0,0.0,0.0,10.0,0.0,0.0,13.3,103.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.7,0.0,13.3,83.3,23.3,0.0,116.7,10.0,6.67,66.7,3.33,33.3,90.0,673.3,366.7,6.67,13.3,0.0,0.0,3.33,96.7,10.0,0.0,0.0,0.0,0.0,3.33,0.0,0.0,0.0,0.0,10.0,3.33,0.0,100.0,900000.0,0.4464285714285714,0.1428571428571428,0.4107142857142857,-0.0497875,0.0,15,911,60.73333333333333,383,76,0.0,0.0,0.0
fra,mf,lyon,ligue 1,25,1998,14,1,336,3.7,0,2.7,1.89,70.0,0.0,0.0,20.0,0.0,0.0,0.0,77.0,88.9,86.6,1192.2,271.6,40.3,44.3,90.9,29.7,33.5,88.7,4.05,6.76,60.0,0.0,2.16,8.38,1.35,0.27,8.65,84.3,4.32,1.35,0.54,0.0,3.51,0.27,2.16,1.08,0.54,0.0,0.27,1.35,5.41,4.32,0.27,0.27,0.27,0.0,0.27,0.54,0.54,0.0,0.0,0.0,0.0,0.0,2.16,1.35,0.27,1.35,0.54,1.35,2.43,55.6,1.08,1.08,0.0,1.08,1.62,3.78,0.0,0.0,101.9,0.54,8.38,56.8,38.9,2.97,101.9,5.68,2.97,52.4,1.62,28.6,85.4,551.9,259.2,5.41,7.3,0.81,3.24,2.43,81.1,6.76,0.27,0.0,0.0,1.89,1.08,0.0,0.0,0.0,0.0,8.11,0.81,0.81,50.0,900000.0,0.4464285714285714,0.1428571428571428,0.4107142857142857,-0.0497875,0.0,15,911,60.73333333333333,383,76,0.0,0.0,0.7
bra,mffw,girona,la liga,21,2002,7,3,313,3.5,1,1.14,0.57,50.0,0.25,0.5,8.3,0.0,0.0,0.0,26.6,33.1,80.2,337.4,90.0,18.3,20.6,88.9,7.71,9.14,84.4,0.0,0.57,0.0,0.0,0.86,0.57,1.43,0.0,2.57,31.7,1.14,0.57,0.29,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.29,1.71,2.29,2.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.71,1.14,1.14,0.0,0.57,0.29,1.14,25.0,0.86,0.86,0.0,0.86,0.29,2.0,0.57,0.0,45.1,0.86,6.0,21.4,18.3,2.86,45.1,2.86,1.43,50.0,1.43,50.0,28.6,136.3,48.6,1.14,1.71,0.0,3.71,2.57,36.0,2.57,0.29,0.0,0.0,0.57,2.29,0.29,0.0,0.0,0.0,4.0,0.29,1.43,16.7,1500000.0,0.2133333333333333,0.3066666666666666,0.48,0.188064,0.0,7,169,24.142857142857142,54,23,0.2857142857142857,0.0,0.5
ger,mf,m'gladbach,bundesliga,20,2002,1,0,3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,30.0,0.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000000.0,0.3076923076923077,0.173076923076923,0.5192307692307693,0.1471903846153846,0.0,6,217,36.16666666666666,98,8,0.0,0.0,0.0
ned,df,sevilla,la liga,28,1994,10,9,664,7.4,1,0.68,0.14,20.0,0.2,1.0,10.8,0.0,0.0,0.0,59.9,63.6,94.1,1063.8,349.9,23.8,24.5,97.2,32.0,33.1,96.7,3.38,5.0,67.6,0.14,0.41,4.46,0.27,0.14,5.0,61.1,2.57,0.81,0.0,0.27,0.14,1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.95,0.0,0.0,0.0,0.0,0.0,0.27,0.27,0.0,0.0,0.0,0.0,0.0,0.27,0.14,0.27,0.0,0.0,0.14,0.27,50.0,0.14,0.54,0.14,0.41,0.81,1.08,1.76,0.0,70.0,4.86,27.7,37.3,5.27,1.08,70.0,0.41,0.14,33.3,0.27,66.7,52.0,235.9,132.4,1.35,0.81,0.14,0.54,0.68,55.4,0.68,0.14,0.0,0.0,1.76,0.41,0.0,0.0,0.0,0.0,4.59,1.49,0.54,73.3,1500000.0,0.2058823529411764,0.2205882352941176,0.5735294117647058,0.2720485294117647,0.0,15,419,27.933333333333334,56,56,0.13513513513513511,0.01891891891891892,0.2058823529411765
esp,gk,real sociedad,la liga,27,1995,20,20,1800,20.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.6,36.0,71.1,786.4,596.5,4.05,4.1,98.8,11.6,11.8,97.9,9.9,19.6,50.4,0.0,0.0,0.9,0.0,0.0,0.05,26.4,9.2,3.2,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.1,37.9,33.1,37.8,0.1,0.0,0.0,37.9,0.0,0.0,0.0,0.0,0.0,21.7,126.3,79.1,0.0,0.0,0.0,0.05,0.0,17.9,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15,0.2,0.0,100.0,15000000.0,0.5409836065573771,0.0327868852459016,0.4262295081967213,-0.0545491803278688,0.0,2,39,19.5,31,31,0.0,0.0,0.0
gre,df,hellas verona,serie a,24,1998,2,1,122,1.4,0,0.71,0.0,0.0,0.0,0.0,16.8,0.0,0.0,0.0,31.4,40.0,78.6,557.9,229.3,14.3,16.4,87.0,14.3,17.1,83.3,2.86,5.0,57.1,0.0,0.71,2.14,0.0,0.0,1.43,30.7,8.57,2.14,0.0,0.71,0.0,6.43,0.0,0.0,0.0,0.0,0.71,0.71,0.71,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.57,2.86,1.43,1.43,0.71,2.14,2.14,100.0,0.0,2.86,0.71,2.14,1.43,5.0,2.14,0.0,54.3,5.71,22.1,27.1,5.0,0.71,54.3,0.71,0.71,100.0,0.0,0.0,25.0,177.9,89.3,1.43,0.0,0.0,0.0,0.71,23.6,0.0,0.0,0.0,0.0,2.86,1.43,0.0,0.0,0.0,0.0,5.0,2.14,2.14,50.0,5000000.0,0.7090909090909091,0.1272727272727272,0.1636363636363636,-0.4668981818181818,0.0,15,478,31.866666666666667,111,13,0.0,0.0,0.0
ger,mf,dortmund,bundesliga,33,1989,12,9,779,8.7,2,2.07,0.46,22.2,0.11,0.5,14.5,0.23,0.0,0.0,24.0,31.5,76.3,306.4,75.5,13.7,16.6,82.6,7.7,8.97,85.9,0.46,1.72,26.7,0.23,0.8,1.49,0.23,0.0,2.07,28.7,2.64,1.49,0.0,0.11,1.26,0.11,0.11,0.0,0.0,0.0,0.11,1.38,2.53,1.95,0.23,0.0,0.34,0.0,0.0,0.23,0.23,0.0,0.0,0.0,0.0,0.0,1.95,1.26,0.69,1.03,0.23,0.23,1.26,18.2,1.03,0.57,0.11,0.46,0.23,2.18,0.46,0.0,41.6,0.92,6.09,19.0,17.1,3.56,41.6,1.26,0.46,36.4,0.69,54.5,24.8,124.3,58.2,2.07,1.61,0.57,2.18,1.03,28.4,4.94,0.23,0.0,0.0,1.49,1.26,0.34,0.0,0.0,0.0,3.22,0.46,1.61,22.2,2000000.0,0.12,0.3,0.58,0.272996,0.0,15,329,21.933333333333334,59,59,0.2298850574712644,0.026436781609195405,0.22222222222222224
