Name,Age,Position,Player Nationality,Market Value,Club,League,League Country,Transfer Type,Fee
Alexander Jeremejeff,29,Centre-Forward,Sweden,2.2,APO Levadiakos,Super League 1,Greece,Loan,0.0
Fredrik Gulbrandsen,29,Centre-Forward,Norway,2.2,Adana Demirspor,Süper Lig,Turkey,Free,0.0
Ishak Belfodil,30,Centre-Forward,Algeria,2.2,Al-Gharafa SC,Stars League,Qatar,Free,0.0
Borja Sainz,21,Left Winger,Spain,2.2,Giresunspor,Süper Lig,Turkey,Unknown,0.0
Pietro Beruatto,23,Left-Back,Italy,2.0,Pisa,Serie B,Italy,Permanent,2.1
Sergio Córdova,25,Centre-Forward,Venezuela,1.2,Vancouver,MLS,Canada,Permanent,2.1
Ibrahim Aliyu,21,Centre-Forward,Nigeria,1.3,Houston,MLS,United States,Permanent,2.1
Sofian Kiyine,24,Left Midfield,Morocco,2.1,OH Leuven,Jupiler Pro League,Belgium,Permanent,1.6
Jerónimo Cacciabue,24,Central Midfield,Argentina,2.1,Miedz Legnica,Ekstraklasa,Poland,Loan,0.0
Jens Odgaard,23,Right Winger,Denmark,2.0,AZ Alkmaar,Eredivisie,Netherlands,Permanent,3.59
Emil Konradsen Ceide,20,Left Winger,Norway,2.0,Sassuolo,Serie A,Italy,Permanent,2.85
Enrico Del Prato,22,Right-Back,Italy,2.0,Parma,Serie B,Italy,Permanent,2.75
Gabriel Florentín,23,Attacking Midfield,Argentina,2.0,Orenburg,Premier Liga,Russia,Permanent,2.2
Gustavo Puerta,19,Central Midfield,Colombia,3.5,B. Leverkusen,Bundesliga,Germany,Permanent,2.0
Oscar Fraulo,18,Central Midfield,Denmark,3.5,Bor. M'gladbach,Bundesliga,Germany,Permanent,2.0
Emre Mor,24,Right Winger,Turkey,1.7,Fenerbahce,Süper Lig,Turkey,Permanent,2.0
Delano Burgzorg,23,Left Winger,Netherlands,2.0,1.FSV Mainz 05,Bundesliga,Germany,Permanent,2.0
Alexi Pitu,20,Left Winger,Romania,1.4,G. Bordeaux,Ligue 2,France,Permanent,2.0
Jessic Ngankam,21,Centre-Forward,Germany,2.0,Hertha BSC,Bundesliga,Germany,Permanent,2.0
Emrecan Uzunhan,21,Centre-Back,Turkey,5.25,Besiktas,Süper Lig,Turkey,Permanent,2.0
Tomás Tavares,21,Right-Back,Portugal,2.0,Spartak Moscow,Premier Liga,Russia,Permanent,2.0
Mateusz Praszelik,22,Attacking Midfield,Poland,1.2,Hellas Verona,Serie A,Italy,Permanent,2.0
Michel Vlap,25,Attacking Midfield,Netherlands,2.0,Twente FC,Eredivisie,Netherlands,Permanent,2.0
Mikael,23,Centre-Forward,Brazil,2.0,Salernitana,Serie A,Italy,Permanent,2.0
